id,dataset,classes,length,trainsize,testsize,type,NB,C45,SVML,SVMQ,BN,MLP,Euclidean_1NN,DTW_R1_1NN,DTW_Rn_1NN,DDTW_R1_1NN,DDTW_Rn_1NN,ERP_1NN,LCSS_1NN,MSM_1NN,TWE_1NN,WDDTW_1NN,WDTW_1NN,DD_DTW,DTD_C,DTW_F,LS,FS,BoP,SAXVSM,TSF,TSBF,LPS,ACF,PS,PFr5std,PFr2std,PFr1std,PFr5Train,PFr5TrainStd,PFr5Test,PFr5TestStd,PFr2Train,PFr2TrainStd,PFr2Test,PFr2TestStd,PFr1Train,PFr1TrainStd,PFr1Test,PFr1TestStd,RandF,RotF,ST,BOSS,EE,COTE,PFr5,PFr2,PFr1
22,ElectricDevices,7,96,8926,7711,DEVICE,0.512644274,0.559330826,0.498249254,0.580988199,0.462585916,0.640513552,0.551679419,0.602126832,0.630787187,0.570872779,0.596809752,0.654000778,0.625988847,0.659058488,0.592659837,0.581895993,0.613409415,0.591881727,0.593827,0.741149008,0.587472442,0.579043,0.596031643,0.7052263,0.692517183,0.702502918,0.6812346,0.625729477,0.597198807,0.00230618,0.003406652,0.002729516,5693039.071,67894.83597,1175243.918,15670.35134,1861548.38,301200.5761,932561.1253,146425.1773,1021269.941,262038.1152,973196.7369,243716.1761,0.654908572,0.785760602,0.746984827,0.799247828,0.662949034,0.713266762,0.705965504,0.695292439,0.688509921
23,FaceAll,14,131,560,1690,IMAGE,0.692899408,0.549112426,0.720118343,0.733136095,0.673372781,0.862721893,0.713609467,0.807692308,0.807692308,0.872781065,0.881656805,0.792899408,0.800591716,0.809467456,0.786390533,0.89704142,0.79408284,0.901775148,0.898816568,0.75739645,0.74852071,0.626036,0.755621302,0.968047337,0.75147929,0.744378698,0.767455621,0.70887574,0.820118343,0.017373132,0.00436116,0.002984111,678490.8687,19947.48932,444254.7407,21635.90129,205964.0357,6628.505328,336554.9633,13221.45169,170953.1129,9972.71215,549029.1963,30977.32406,0.732544379,0.911242604,0.778698225,0.781656805,0.84852071,0.917751479,0.893846154,0.931301775,0.927278107
24,FaceFour,4,350,24,88,IMAGE,0.840909091,0.715909091,0.886363636,0.852272727,0.897727273,0.909090909,0.784090909,0.829545455,0.897727273,0.625,0.738636364,0.863636364,0.965909091,0.943181818,0.852272727,0.715909091,0.875,0.829545455,0.818181818,0.988636364,0.965909091,0.909091,0.954545455,0.931818182,0.931818182,1,0.943181818,0.659090909,0.511363636,0.013176157,0.00935537,0.011043469,46034.96245,862.8007504,39327.14114,2495.510574,13717.62991,520.042732,29218.98695,2333.064155,12171.97904,747.5555674,52674.1129,2932.331886,0.852272727,0.818181818,0.852272727,1,0.909090909,0.897727273,0.973863636,0.946590909,0.926136364
25,FacesUCR,14,131,200,2050,IMAGE,0.727317073,0.477560976,0.75804878,0.780487805,0.611707317,0.747317073,0.769268293,0.904878049,0.907804878,0.843414634,0.874634146,0.92097561,0.955121951,0.971219512,0.92,0.868292683,0.92,0.904390244,0.907804878,0.709756098,0.93902439,0.705854,0.898536585,0.925365854,0.883414634,0.866829268,0.925853659,0.692682927,0.800487805,0.001930103,0.00283319,0.003243892,144649.2276,4011.614554,328036.2075,27510.06762,73333.3483,1305.659614,421407.5503,13949.10383,45721.17367,2007.037317,519481.8617,20971.69861,0.782439024,0.802926829,0.905853659,0.957073171,0.944878049,0.942439024,0.945902439,0.939902439,0.928292683
26,FiftyWords,50,270,450,455,IMAGE,0.562637363,0.417582418,0.646153846,0.69010989,0.16043956,0.650549451,0.630769231,0.69010989,0.764835165,0.692307692,0.762637363,0.712087912,0.797802198,0.813186813,0.793406593,0.769230769,0.771428571,0.753846154,0.753846154,0.747252747,0.72967033,0.481319,0.540659341,0.393406593,0.740659341,0.758241758,0.817582418,0.428571429,0.417582418,0.006045621,0.005842462,0.009495591,3336801.395,847118.9135,690309.5298,176627.2479,1141148.954,59861.8176,605997.0658,49880.75192,883443.0024,41451.12951,971640.7802,44858.9527,0.681318681,0.661538462,0.705494505,0.705494505,0.81978022,0.797802198,0.831428571,0.818021978,0.8
27,Fish,7,463,175,175,IMAGE,0.651428571,0.565714286,0.851428571,0.862857143,0.657142857,0.845714286,0.782857143,0.822857143,0.834285714,0.897142857,0.92,0.874285714,0.874285714,0.931428571,0.931428571,0.96,0.851428571,0.942857143,0.925714286,0.948571429,0.96,0.782857,0.897142857,0.948571429,0.794285714,0.834285714,0.942857143,0.617142857,0.811428571,0.011171717,0.011428571,0.011252614,1145713.642,39378.8061,266386.7426,10624.9798,293362.2649,11590.79083,163975.9992,9550.829326,160909.7909,7225.696264,177800.2931,7364.554157,0.76,0.828571429,0.988571429,0.988571429,0.965714286,0.982857143,0.934857143,0.92,0.909142857
28,FordA,2,500,3601,1320,SENSOR,0.491666667,0.562121212,0.496212121,0.777272727,0.515909091,0.74469697,0.665151515,0.554545455,0.665151515,0.717424242,0.721969697,0.658333333,0.698484848,0.718939394,0.618181818,0.717424242,0.653030303,0.722727273,0.765151515,0.892424242,0.956818182,0.787121,0.789393939,0.827272727,0.815151515,0.85,0.872727273,0.936363636,0.937878788,0.003203191,0.007911741,0.006039526,50439804.65,9488927.275,4556724.524,730301.9134,23099099.89,1234312.75,4514504.861,269784.2752,10602724.19,2699520.991,4132335.105,1044854.027,0.771969697,0.84469697,0.971212121,0.929545455,0.737878788,0.956818182,0.854621212,0.850606061,0.846969697
29,FordB,2,500,3636,810,SENSOR,0.534567901,0.525925926,0.527160494,0.737037037,0.507407407,0.665432099,0.60617284,0.619753086,0.598765432,0.665432099,0.656790123,0.624691358,0.648148148,0.641975309,0.608641975,0.659259259,0.598765432,0.666666667,0.65308642,0.749382716,0.917283951,0.728395,0.624691358,0.750617284,0.687654321,0.598765432,0.711111111,0.780246914,0.790123457,0.007882565,0.007480209,0.010527261,49700419.92,9352191.893,3029304.357,405348.4038,21530072.53,3107574.458,2759670.863,336769.0172,10068972.2,2112040.461,2460161.525,518311.3713,0.654320988,0.771604938,0.807407407,0.711111111,0.661728395,0.803703704,0.714938272,0.700493827,0.696790123
30,GunPoint,2,150,50,150,MOTION,0.786666667,0.773333333,0.8,0.94,0.853333333,0.926666667,0.913333333,0.906666667,0.913333333,0.993333333,1,0.946666667,0.973333333,0.973333333,0.953333333,0.993333333,0.98,0.98,0.986666667,0.98,1,0.946667,0.986666667,0.986666667,0.973333333,0.986666667,0.993333333,0.726666667,0.893333333,0.003442652,0.003442652,0.006285394,15485.93555,389.7594106,11774.80229,323.6629499,4701.21018,65.63146599,8700.058685,215.5998226,2664.838013,101.9433315,9493.443052,337.5115945,0.94,0.92,1,1,0.993333333,1,0.997333333,0.997333333,0.993333333
31,Ham,2,431,109,105,SPECTRO,0.752380952,0.533333333,0.6,0.657142857,0.704761905,0.838095238,0.6,0.466666667,0.6,0.476190476,0.542857143,0.6,0.60952381,0.514285714,0.514285714,0.552380952,0.580952381,0.476190476,0.552380952,0.704761905,0.666666667,0.647619,0.59047619,0.80952381,0.742857143,0.761904762,0.561904762,0.685714286,0.6,0.027327415,0.025574773,0.024363916,432563.4585,6754.907096,95236.2526,1812.340076,178589.721,3038.266421,95130.43771,2200.204168,96539.96558,4432.571905,101366.0033,5281.373938,0.714285714,0.714285714,0.685714286,0.666666667,0.571428571,0.647619048,0.66,0.656190476,0.639047619
32,HandOutlines,2,2709,1000,370,IMAGE,0.810810811,0.881081081,0.891891892,0.867567568,0.845945946,0.883783784,0.862162162,0.881081081,0.878378378,0.737837838,0.810810811,0.883783784,0.848648649,0.875675676,0.87027027,0.840540541,0.87027027,0.867567568,0.864864865,0.916216216,0.481081081,0.810811,0.902702703,0.908108108,0.918918919,0.854054054,0.881081081,0.686486486,0.745945946,0.006036708,0.00552422,0.006890567,254863592.2,24498858.46,19808171.07,1820133.234,123883799.6,7358962.614,24585988.59,1975954.608,63532254.38,18950452.34,24271945.54,4739023.502,0.905405405,0.910810811,0.932432432,0.902702703,0.889189189,0.918918919,0.921351351,0.914054054,0.906756757
33,Haptics,5,1092,155,308,MOTION,0.438311688,0.350649351,0.405844156,0.428571429,0.363636364,0.467532468,0.37012987,0.376623377,0.415584416,0.285714286,0.327922078,0.37012987,0.38961039,0.441558442,0.415584416,0.321428571,0.37012987,0.399350649,0.399350649,0.435064935,0.467532468,0.392857,0.422077922,0.37987013,0.444805195,0.49025974,0.431818182,0.431818182,0.448051948,0.011801004,0.010609373,0.010603852,5271097.129,384904.9979,2119719.562,148866.0275,1807179.693,328749.6884,1994656.163,334550.5671,858196.192,33057.85958,1964455.339,71174.53264,0.454545455,0.438311688,0.522727273,0.461038961,0.392857143,0.522727273,0.444480519,0.445779221,0.451298701
34,Herring,2,512,64,64,IMAGE,0.578125,0.578125,0.609375,0.609375,0.53125,0.640625,0.515625,0.53125,0.53125,0.5,0.515625,0.625,0.5625,0.5625,0.515625,0.46875,0.53125,0.546875,0.546875,0.578125,0.625,0.53125,0.5625,0.625,0.609375,0.640625,0.578125,0.671875,0.5625,0.03997205,0.033104685,0.041796672,471106.1344,9328.638859,106355.4886,2141.361206,158518.2188,2045.957364,91804.68195,1348.169881,101118.4638,2493.822025,118405.6111,2052.115738,0.59375,0.65625,0.671875,0.546875,0.578125,0.625,0.5796875,0.584375,0.6
35,InlineSkate,7,1882,100,550,MOTION,0.216363636,0.269090909,0.309090909,0.329090909,0.176363636,0.34,0.341818182,0.383636364,0.387272727,0.452727273,0.456363636,0.447272727,0.427272727,0.452727273,0.421818182,0.452727273,0.403636364,0.561818182,0.509090909,0.372727273,0.438181818,0.189091,0.376363636,0.410909091,0.376363636,0.385454545,0.5,0.46,0.429090909,0.014919435,0.010428822,0.009121162,10483379.51,1776380.363,15101960.67,2556134.446,3990757.54,781686.3859,13469785.42,2078021.508,2229468.918,556466.9366,14730257.66,3700720.35,0.350909091,0.370909091,0.372727273,0.516363636,0.46,0.494545455,0.541818182,0.473272727,0.422727273
36,InsectWingbeatSound,11,256,220,1980,SENSOR,0.628282828,0.507070707,0.643434343,0.600505051,0.614141414,0.591414141,0.561616162,0.355050505,0.573737374,0.243434343,0.519191919,0.525757576,0.555555556,0.574747475,0.534343434,0.542424242,0.573737374,0.355050505,0.472727273,0.630808081,0.606060606,0.489394,0.491919192,0.547474747,0.632828283,0.624747475,0.550505051,0.558080808,0.583333333,0.005563203,0.00476434,0.002439626,716954.5317,16686.35888,1309899.57,42265.60004,185443.5876,5241.202482,863927.1133,45587.52488,150647.0122,7659.025011,1530891.24,68012.84919,0.656060606,0.636363636,0.626767677,0.523232323,0.594949495,0.652525253,0.618686869,0.615707071,0.614141414
37,ItalyPowerDemand,2,24,67,1029,SENSOR,0.900874636,0.946550049,0.971817298,0.951409135,0.931972789,0.945578231,0.955296404,0.950437318,0.955296404,0.91350826,0.972789116,0.955296404,0.957240039,0.943634597,0.948493683,0.940719145,0.950437318,0.950437318,0.951409135,0.960155491,0.960155491,0.917396,0.860058309,0.816326531,0.960155491,0.883381924,0.923226433,0.790087464,0.896987366,0.001250422,0.001843894,0.001986357,697.807266,32.28502586,2497.395316,119.6472698,206.6654486,13.29930553,1937.858735,105.1641853,155.279185,8.535994686,2988.543391,120.6157746,0.965986395,0.972789116,0.947521866,0.908649174,0.962099125,0.961127308,0.967055394,0.965403304,0.963848397
38,LargeKitchenAppliances,3,720,375,375,DEVICE,0.458666667,0.485333333,0.426666667,0.461333333,0.549333333,0.48,0.493333333,0.794666667,0.794666667,0.768,0.757333333,0.618666667,0.584,0.669333333,0.752,0.768,0.794666667,0.794666667,0.794666667,0.8,0.701333333,0.56,0.624,0.877333333,0.570666667,0.528,0.717333333,0.778666667,0.733333333,0.007930563,0.006260202,0.01013879,5436460.686,1320993.621,1319616.455,318571.4373,1530075.052,22235.19403,872550.9403,13344.59207,1449268.638,32229.28056,1589148.3,34661.39375,0.568,0.608,0.858666667,0.765333333,0.810666667,0.845333333,0.781866667,0.7712,0.753866667
